id,a,a_port,b,b_port,purpose,metric
1,P1,1,P2,1,CORE-RING,10
2,P2,2,P3,1,CORE-RING,10
3,P3,2,P4,1,CORE-RING,10
4,P4,2,P5,1,CORE-RING,10
5,P5,2,P6,1,CORE-RING,10
6,P6,2,P1,2,CORE-RING,10
7,P1,3,P4,3,CORE-CHORD,20
8,P2,3,P5,3,CORE-CHORD,20
9,P3,3,P6,3,CORE-CHORD,20
10,PE1,1,P1,4,PE-UPLINK,10
11,PE1,2,P2,4,PE-UPLINK,10
12,PE2,1,P2,5,PE-UPLINK,10
13,PE2,2,P3,4,PE-UPLINK,10
14,PE3,1,P3,5,PE-UPLINK,10
15,PE3,2,P4,4,PE-UPLINK,10
16,PE4,1,P4,5,PE-UPLINK,10
17,PE4,2,P5,4,PE-UPLINK,10
18,PE5,1,P5,5,PE-UPLINK,10
19,PE5,2,P6,4,PE-UPLINK,10
20,PE6,1,P6,5,PE-UPLINK,10
21,PE6,2,P1,5,PE-UPLINK,10
22,RR1,1,P1,6,RR-UPLINK,10
23,RR1,2,P4,6,RR-UPLINK,10
24,RR2,1,P3,6,RR-UPLINK,10
25,RR2,2,P6,6,RR-UPLINK,10
