name,role,mgmt_ipv4,loopback_ipv4,loopback_ipv6,isis_net,startup_delay
P1,P,10.204.253.101,10.255.0.1/32,2001:db8:500:abcd::1/128,49.0001.0000.0000.0001.00,0
P2,P,10.204.253.102,10.255.0.2/32,2001:db8:500:abcd::2/128,49.0001.0000.0000.0002.00,45
P3,P,10.204.253.103,10.255.0.3/32,2001:db8:500:abcd::3/128,49.0001.0000.0000.0003.00,90
P4,P,10.204.253.104,10.255.0.4/32,2001:db8:500:abcd::4/128,49.0001.0000.0000.0004.00,135
P5,P,10.204.253.105,10.255.0.5/32,2001:db8:500:abcd::5/128,49.0001.0000.0000.0005.00,180
P6,P,10.204.253.106,10.255.0.6/32,2001:db8:500:abcd::6/128,49.0001.0000.0000.0006.00,225
PE1,PE,10.204.253.111,10.255.0.11/32,2001:db8:500:abcd::11/128,49.0001.0000.0000.0011.00,270
PE2,PE,10.204.253.112,10.255.0.12/32,2001:db8:500:abcd::12/128,49.0001.0000.0000.0012.00,315
PE3,PE,10.204.253.113,10.255.0.13/32,2001:db8:500:abcd::13/128,49.0001.0000.0000.0013.00,360
PE4,PE,10.204.253.114,10.255.0.14/32,2001:db8:500:abcd::14/128,49.0001.0000.0000.0014.00,405
PE5,PE,10.204.253.115,10.255.0.15/32,2001:db8:500:abcd::15/128,49.0001.0000.0000.0015.00,450
PE6,PE,10.204.253.116,10.255.0.16/32,2001:db8:500:abcd::16/128,49.0001.0000.0000.0016.00,495
RR1,RR,10.204.253.121,10.255.0.21/32,2001:db8:500:abcd::21/128,49.0001.0000.0000.0021.00,540
RR2,RR,10.204.253.122,10.255.0.22/32,2001:db8:500:abcd::22/128,49.0001.0000.0000.0022.00,585
