id,a,a_port,b,b_port,purpose,metric
1,P1,1,P2,1,CORE-RING,10
2,P2,2,P3,1,CORE-RING,10
3,P3,2,P4,1,CORE-RING,10
4,P4,2,P1,2,CORE-RING,10
5,P1,3,P3,3,CORE-CHORD,20
6,P2,3,P4,3,CORE-CHORD,20
7,PE1,1,P1,4,PE-UPLINK,10
8,PE1,2,P2,4,PE-UPLINK,10
9,PE2,1,P2,5,PE-UPLINK,10
10,PE2,2,P3,4,PE-UPLINK,10
11,PE3,1,P3,5,PE-UPLINK,10
12,PE3,2,P4,4,PE-UPLINK,10
13,PE4,1,P4,5,PE-UPLINK,10
14,PE4,2,P1,5,PE-UPLINK,10
15,RR1,1,P1,6,RR-UPLINK,10
16,RR1,2,P3,6,RR-UPLINK,10
17,RR2,1,P2,6,RR-UPLINK,10
18,RR2,2,P4,6,RR-UPLINK,10
