name,role,mgmt_ipv4,loopback_ipv4,loopback_ipv6,isis_net,startup_delay
P1,P,10.204.252.101,10.255.0.1/32,2001:db8:500:abcd::1/128,49.0001.0000.0000.0001.00,0
P2,P,10.204.252.102,10.255.0.2/32,2001:db8:500:abcd::2/128,49.0001.0000.0000.0002.00,60
P3,P,10.204.252.103,10.255.0.3/32,2001:db8:500:abcd::3/128,49.0001.0000.0000.0003.00,120
P4,P,10.204.252.104,10.255.0.4/32,2001:db8:500:abcd::4/128,49.0001.0000.0000.0004.00,180
PE1,PE,10.204.252.111,10.255.0.11/32,2001:db8:500:abcd::11/128,49.0001.0000.0000.0011.00,240
PE2,PE,10.204.252.112,10.255.0.12/32,2001:db8:500:abcd::12/128,49.0001.0000.0000.0012.00,300
PE3,PE,10.204.252.113,10.255.0.13/32,2001:db8:500:abcd::13/128,49.0001.0000.0000.0013.00,360
PE4,PE,10.204.252.114,10.255.0.14/32,2001:db8:500:abcd::14/128,49.0001.0000.0000.0014.00,420
RR1,RR,10.204.252.121,10.255.0.21/32,2001:db8:500:abcd::21/128,49.0001.0000.0000.0021.00,480
RR2,RR,10.204.252.122,10.255.0.22/32,2001:db8:500:abcd::22/128,49.0001.0000.0000.0022.00,540
